open_time,open,high,low,close
1787715900000,79023.7,79078.0,78911.0,79049.0
1787716800000,79049.0,79149.2,78921.1,79008.6
1787717700000,79008.5,79100.0,78938.4,78976.6
1787718600000,78976.7,79019.0,78850.0,78929.0
1787719500000,78929.0,78929.0,78750.0,78792.1
1787720400000,78792.1,78926.4,78600.0,78865.1
1787721300000,78865.0,79040.4,78712.2,78990.5
1787722200000,78990.5,79105.0,78946.6,79079.9
1787723100000,79080.0,79080.0,78895.3,79052.5
1787724000000,79052.6,79180.2,78932.2,78968.2
1787724900000,78967.4,79019.8,78791.2,78868.9
1787725800000,78869.0,78930.4,78774.4,78904.7
1787726700000,78904.8,78936.0,78827.5,78908.9
1787727600000,78908.9,79065.1,78824.4,78955.2
1787728500000,78955.1,78999.0,78860.1,78904.5
1787729400000,78904.5,79017.9,78848.8,78960.1
1787730300000,78960.0,79025.9,78881.5,78887.0
1787731200000,78887.1,79087.9,78792.8,79002.0
1787732100000,79002.0,79083.8,78871.8,78950.5
1787733000000,78950.4,78995.1,78863.6,78969.0
1787733900000,78969.1,78984.8,78570.3,78677.0
1787734800000,78677.0,78850.0,78635.0,78744.8
1787735700000,78744.8,78744.9,78363.0,78501.3
1787736600000,78501.2,78563.7,78280.2,78290.2
1787737500000,78290.2,78465.0,78208.0,78415.5
1787738400000,78415.2,78449.1,78260.6,78396.8
1787739300000,78396.8,78612.9,78389.3,78593.0
1787740200000,78593.0,78780.3,78530.8,78689.6
1787741100000,78689.6,78858.1,78661.3,78688.5
1787742000000,78688.5,78750.0,78615.0,78670.2
1787742900000,78670.2,78705.7,78578.0,78590.3
1787743800000,78590.2,78596.2,78274.1,78439.0
1787744700000,78438.9,78543.1,78340.1,78442.6
1787745600000,78442.6,78529.6,78318.4,78360.4
1787746500000,78360.4,78679.2,78249.0,78670.7
1787747400000,78670.6,78670.7,77906.4,78224.5
1787748300000,78224.4,78415.3,78161.0,78280.5
1787749200000,78280.4,78416.0,77921.1,78088.7
1787750100000,78088.7,78142.8,77850.0,78011.4
1787751000000,78011.5,78463.8,78011.5,78450.3
1787751900000,78450.3,78518.7,78056.3,78407.0
1787752800000,78406.9,78560.0,78255.5,78418.0
1787753700000,78418.0,78530.9,78160.4,78202.4
1787754600000,78202.2,78243.5,77900.0,77941.5
1787755500000,77941.4,78011.0,77722.5,77764.4
1787756400000,77764.5,77927.1,77600.0,77813.1
1787757300000,77813.1,78137.3,77692.1,78129.1
1787758200000,78129.0,78142.0,77891.6,78007.6
1787759100000,78007.6,78115.9,77936.3,77980.7
1787760000000,77980.7,78131.5,77938.6,78043.7
1787760900000,78043.8,78114.1,77942.8,78027.2
1787761800000,78027.2,78120.0,77812.6,77837.8
1787762700000,77837.8,78138.0,77837.8,77961.2
1787763600000,77961.2,78109.6,77961.2,78101.3
1787764500000,78101.4,78486.2,78101.3,78486.1
1787765400000,78486.2,78583.7,78455.5,78480.7
